state,value
AL,4859000
AK,738400
AZ,6828000
AR,2978000
CA,39145000
CO,5456500
CT,3590000
DE,946000
FL,20271000
GA,10215000
HI,1431000
ID,1655000
IL,12860000
IN,6619000
IA,3124000
KS,2911000
KY,4425000
LA,4671000
ME,1329000
MD,6006000
MA,6794000
MI,9922000
MN,5489000
MS,2992000
MO,6084000
MT,1031000
NE,1896000
NV,2891000
NH,1330000
NJ,8958000
NM,2085000
NY,19796000
NC,10043000
ND,757000
OH,11613000
OK,3911000
OR,4029000
PA,12802000
RI,1056000
SC,4896000
SD,858500
TN,6600000
TX,27469000
UT,2996000
VT,624600
VA,8383000
WA,7170000
WV,1844000
WI,5771000
WY,585500
